Plate No,Route,Source,Destination,Current Lat,Current Long,Next Waypoint 1,Next Waypoint 2,Speed,ETA to Next Stop,Status
GJ-01-EV-6242,1B,Ghuma,Maninagar,23.133541,72.513217,"23.129303, 72.608817","23.107513, 72.610301",19 km/h,24 mins,On Time
GJ-01-SR-2651,2,Ghuma,Bhadaj,22.989974,72.465103,"23.113016, 72.565756","22.971103, 72.478489",21 km/h,13 mins,On Time
GJ-01-AS-6001,3D,Ghuma,RTO,22.95479,72.634407,"23.046207, 72.601394","22.968100, 72.604987",44 km/h,24 mins,Traffic
GJ-01-WK-1310,4B,Ghuma,LD Engg,23.127913,72.585686,"23.138891, 72.623801","23.075520, 72.644585",49 km/h,21 mins,On Time
GJ-01-GJ-5673,5A,Ghuma,Vasna,23.023824,72.622514,"22.983634, 72.623920","22.995511, 72.548927",49 km/h,25 mins,Delayed
GJ-01-LL-1764,6C,Ghuma,RTO (C),23.08956,72.596488,"23.048212, 72.508067","22.973968, 72.501036",21 km/h,16 mins,On Time
GJ-01-TH-1161,7D,Ghuma,Lal Darwaja,23.146505,72.509721,"23.100182, 72.543460","22.999885, 72.548492",25 km/h,24 mins,Delayed
GJ-01-WT-7081,8C,Ghuma,Kalupur,23.103434,72.640424,"23.024364, 72.608383","23.019987, 72.458632",50 km/h,17 mins,Early
GJ-01-XK-6390,9D,Ghuma,Chandkheda,23.029177,72.506605,"22.974638, 72.478671","23.074201, 72.512267",15 km/h,8 mins,Delayed
GJ-01-FH-2696,10D,Ghuma,Hanspura,23.133772,72.636619,"22.986586, 72.487905","23.107697, 72.593390",45 km/h,3 mins,On Time
GJ-01-WO-1791,11C,Ghuma,Gota,23.132258,72.635805,"23.085260, 72.566054","23.024319, 72.530924",36 km/h,10 mins,Delayed
GJ-01-DJ-9877,12A,Ghuma,Ranip,23.003302,72.588889,"23.084275, 72.574249","22.997753, 72.511466",29 km/h,10 mins,Delayed
GJ-01-US-1822,13C,Ghuma,Sarkhej,22.967966,72.458678,"23.116850, 72.451362","23.017547, 72.555039",41 km/h,3 mins,Delayed
GJ-01-ME-4753,14A,Ghuma,Iskcon,23.055211,72.645042,"23.035326, 72.630814","23.031885, 72.524591",47 km/h,15 mins,On Time
GJ-01-ZM-0611,15B,Ghuma,Nehrunagar,22.998275,72.591351,"23.076992, 72.646945","23.141874, 72.627556",16 km/h,16 mins,Delayed
GJ-01-NS-8304,16,Ghuma,Sarangpur,23.059817,72.610248,"23.131283, 72.629839","23.143756, 72.628358",15 km/h,8 mins,On Time
GJ-01-IC-4211,17C,Ghuma,Vadaj,23.030349,72.48294,"23.138404, 72.471772","23.089993, 72.545998",34 km/h,16 mins,Traffic
GJ-01-BG-8369,18,Ghuma,Odhav,23.047839,72.481685,"22.976567, 72.457810","22.966110, 72.595885",46 km/h,9 mins,Delayed
GJ-01-UQ-5083,19A,Ghuma,Sarthi,23.039142,72.568159,"23.149398, 72.646146","22.972756, 72.481374",59 km/h,24 mins,Delayed
GJ-01-XM-7093,20D,Ghuma,Airport,22.964855,72.516648,"23.145801, 72.499318","23.041174, 72.556461",41 km/h,7 mins,Early
GJ-01-JR-7021,21C,Ghuma,Amba Town,22.982858,72.55731,"22.972840, 72.471950","23.035090, 72.626488",51 km/h,11 mins,Traffic
GJ-01-SV-8520,22B,Ghuma,Dahegam,23.092561,72.556596,"23.027413, 72.462801","23.049794, 72.511013",45 km/h,23 mins,Delayed
GJ-01-SI-4459,23,Ghuma,Bopal,23.105489,72.611106,"22.994511, 72.583937","23.068816, 72.633312",35 km/h,14 mins,Early
GJ-01-SV-8169,24A,Ghuma,Ghatlodia,22.956663,72.520834,"23.071170, 72.647345","22.998180, 72.548155",50 km/h,8 mins,Delayed
GJ-01-YL-1117,25B,Ghuma,Vaishnodevi,23.122243,72.631783,"23.087665, 72.537720","22.962181, 72.486268",56 km/h,8 mins,Early
GJ-01-XF-3515,26D,Ghuma,Science City,22.975442,72.629264,"22.997211, 72.566984","23.113676, 72.623408",46 km/h,11 mins,Delayed
GJ-01-TM-4443,27B,Ghuma,Memnagar,23.133486,72.602221,"23.141056, 72.505566","23.081647, 72.505006",22 km/h,11 mins,Early
GJ-01-DV-6210,28A,Ghuma,CTM,23.106687,72.585523,"22.985322, 72.508889","23.061085, 72.638005",18 km/h,10 mins,Traffic
GJ-01-WE-5015,29B,Ghuma,Naroda,23.112824,72.585256,"23.013295, 72.552085","23.049948, 72.602024",50 km/h,4 mins,On Time
GJ-01-PQ-7420,30,Ghuma,S. Bopal,22.967533,72.606322,"22.952200, 72.554169","23.025469, 72.621531",43 km/h,21 mins,Traffic
GJ-01-SS-8481,31A,Ghuma,Sabarmati,23.09944,72.551388,"22.969256, 72.493560","22.976779, 72.562030",47 km/h,23 mins,Traffic
GJ-01-CK-9715,32D,Ghuma,Isanpur,23.085543,72.474055,"23.040851, 72.505739","23.013053, 72.486265",56 km/h,5 mins,Traffic
GJ-01-LM-2948,33D,Ghuma,Sola,23.017769,72.488919,"23.119796, 72.470992","23.131432, 72.489776",58 km/h,16 mins,Early
GJ-01-JD-0540,34C,Ghuma,Prahladnagar,23.128539,72.61584,"23.148645, 72.461296","23.065540, 72.636154",24 km/h,11 mins,Delayed
GJ-01-SH-9802,35C,Ghuma,Chandlodia,23.093002,72.575201,"23.072360, 72.487112","23.001030, 72.621887",26 km/h,10 mins,Early
GJ-01-BF-7378,36A,Ghuma,Jaimangal,23.041976,72.647437,"23.037763, 72.571323","22.978175, 72.480988",25 km/h,14 mins,Traffic
GJ-01-II-8638,37D,Ghuma,Narol,23.065247,72.635395,"23.128122, 72.647461","23.126032, 72.645780",25 km/h,20 mins,Early
